song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
195680,0.0711,0.841,0.808,3.36e-06,10,0.0816,-5.55,1,0.0749,95.0,4,0.66
177034,0.00127,0.654,0.584,0.0,6,0.0773,-7.411,0,0.0674,159.899,4,0.284
219552,0.0288,0.803,0.648,0.0,4,0.0904,-9.185,0,0.198,131.925,4,0.538
181913,0.645,0.547,0.289,0.0,0,0.148,-8.131,1,0.0348,104.851,3,0.213
114701,0.13,0.72,0.467,0.959,9,0.113,-10.303,1,0.0821,85.996,4,0.357
202173,0.326,0.64,0.583,1.16e-05,10,0.13,-6.521,1,0.0496,91.968,4,0.362
283626,0.223,0.49,0.675,0.187,0,0.219,-7.242,1,0.47,171.625,4,0.529
259333,0.00577,0.706,0.801,0.0,5,0.0822,-6.333,1,0.0399,100.013,4,0.63
244506,0.0118,0.61,0.895,3e-05,10,0.048,-7.029,1,0.0289,141.364,4,0.933
216875,0.935,0.542,0.0957,6.4e-06,8,0.182,-14.518,0,0.0404,134.739,4,0.259
236264,0.00682,0.827,0.451,0.806,9,0.0958,-10.387,1,0.0982,124.007,4,0.193
200218,0.944,0.336,0.331,2.9e-06,4,0.0732,-8.102,0,0.0349,88.612,3,0.189
297600,0.741,0.527,0.782,0.545,8,0.153,-8.734,1,0.0417,87.347,4,0.961
121346,0.073,0.754,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
256690,0.016,0.374,0.899,0.0,4,0.281,-5.933,0,0.312,83.88,4,0.677
190368,0.188,0.556,0.736,1.74e-06,7,0.0668,-7.78,1,0.285,98.228,3,0.396
202199,0.114,0.56,0.869,2.88e-06,0,0.143,-2.391,1,0.237,190.036,4,0.866
158796,0.332,0.887,0.573,0.0,0,0.143,-4.633,0,0.251,133.026,4,0.237
190720,0.0786,0.62,0.667,0.0,1,0.0654,-4.971,0,0.22,136.119,4,0.274
116428,0.538,0.344,0.408,0.172,6,0.737,-14.327,0,0.0661,82.862,4,0.239
232959,0.0236,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
230200,0.00543,0.771,0.685,0.00157,1,0.0537,-4.639,1,0.0567,88.997,4,0.683
260240,0.0668,0.964,0.605,7.78e-06,9,0.214,-6.223,1,0.179,129.994,4,0.646
213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537
280286,0.0134,0.598,0.672,0.0,0,0.106,-5.291,0,0.0438,125.086,4,0.338
244826,0.0182,0.648,0.751,0.000401,8,0.0418,-8.582,1,0.0806,100.437,4,0.863
194920,0.0238,0.515,0.631,0.0,7,0.357,-4.7,1,0.126,179.892,4,0.386
311866,0.00728,0.625,0.726,0.0,10,0.318,-7.731,0,0.155,103.98,4,0.483
258732,0.000453,0.372,0.865,0.0,2,0.234,-4.918,1,0.0381,174.53,4,0.478
187125,0.372,0.773,0.57,0.00524,8,0.108,-3.482,1,0.113,95.038,4,0.772
216000,0.000927,0.589,0.783,1.12e-06,1,0.187,-6.069,1,0.0318,127.92,4,0.622
187125,0.372,0.773,0.57,0.00524,8,0.108,-3.482,1,0.113,95.038,4,0.772
168362,0.819,0.33,0.481,0.246,6,0.122,-11.734,1,0.105,79.593,1,0.483
175357,0.406,0.501,0.684,0.00153,11,0.174,-6.428,1,0.0408,84.004,4,0.507
298133,0.732,0.65,0.846,0.00161,0,0.26,-3.474,1,0.0386,176.049,4,0.848
242034,0.0609,0.648,0.75,4.41e-06,0,0.104,-3.248,1,0.0335,105.03,4,0.556
212933,0.733,0.57,0.519,0.0,5,0.139,-5.671,1,0.0309,139.701,4,0.24
314626,0.0695,0.474,0.894,0.0,10,0.134,-2.604,0,0.08,174.102,4,0.464
204653,0.0187,0.827,0.7,0.0,8,0.138,-6.403,1,0.0985,144.987,4,0.824
134629,0.229,0.719,0.75,0.853,8,0.101,-6.365,1,0.0637,140.059,3,0.476
179404,0.088,0.931,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,4,0.376
220538,0.069,0.81,0.789,0.00103,1,0.0638,-5.048,1,0.04,94.025,4,0.856
183560,0.926,0.711,0.289,0.088,4,0.129,-17.284,1,0.0339,128.464,4,0.79
484146,0.234,0.574,0.512,0.0,5,0.0946,-6.664,0,0.0503,76.899,4,0.512
189906,0.561,0.761,0.542,1.53e-06,4,0.258,-5.256,1,0.0269,81.975,4,0.87
